Date Created,Number of Likes,Source of Tweet,Tweet,Location,Number of Retweets,#hashtags
2022-11-09 18:00:00+00:00,7070,Twitter Media Studio,They haven’t built a school that can hold me. I doubt Nevermore will be any different. https://t.co/bsVIb8REd3,,1273,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1590149434792243200, 'id_str': '1590149434792243200', 'indices': [87, 110], 'media_url': 'http://pbs.twimg.com/media/FhFcMu5VUAAbNIp.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FhFcMu5VUAAbNIp.jpg', 'url': 'https://t.co/bsVIb8REd3', 'display_url': 'pic.twitter.com/bsVIb8REd3', 'expanded_url': 'https://twitter.com/wednesdayaddams/status/1590403848614518784/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 381, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1149, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 673, 'resize': 'fit'}}}]}"
2022-11-01 17:38:45+00:00,1735,Twitter Web App,Impressive. Looks a lot like Pugsley after a few hours in the pig roaster. https://t.co/0nMZTPM7np,,101,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/0nMZTPM7np', 'expanded_url': 'https://twitter.com/MailOnline/status/1587379329276821504', 'display_url': 'twitter.com/MailOnline/sta…', 'indices': [75, 98]}]}"
2022-11-01 16:57:12+00:00,4293,Twitter Media Studio,Halloween is over but spooky season never ends. https://t.co/5W9amaEg1z,,569,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1587487324727783424, 'id_str': '1587487324727783424', 'indices': [48, 71], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1587487324727783424/img/ugl6NB1tMiIwVaq3.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1587487324727783424/img/ugl6NB1tMiIwVaq3.jpg', 'url': 'https://t.co/5W9amaEg1z', 'display_url': 'pic.twitter.com/5W9amaEg1z', 'expanded_url': 'https://twitter.com/wednesdayaddams/status/1587488941027966978/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}}}]}"
2022-10-09 00:05:00+00:00,21945,Twitter Media Studio,This *festering* new trailer is full of surprises. I know the suspense is killing you. https://t.co/JmCVMBaDHP,,5518,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1578820197967765506, 'id_str': '1578820197967765506', 'indices': [87, 110], 'media_url': 'http://pbs.twimg.com/media/FelUDnLVEAAik54.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FelUDnLVEAAik54.jpg', 'url': 'https://t.co/JmCVMBaDHP', 'display_url': 'pic.twitter.com/JmCVMBaDHP', 'expanded_url': 'https://twitter.com/wednesdayaddams/status/1578899291556438017/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}"
2022-10-07 16:10:00+00:00,780,Twitter for iPhone,@netflix can’t keep your mouth shut? I’ve sent Thing to fetch the needle and thread. https://t.co/AOtcm0Om50,,72,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [0, 8]}], 'urls': [{'url': 'https://t.co/AOtcm0Om50', 'expanded_url': 'https://twitter.com/netflix/status/1578415376915779585', 'display_url': 'twitter.com/netflix/status…', 'indices': [85, 108]}]}"
2022-10-03 19:37:30+00:00,975,Twitter Web App,Unrelenting teenage purgatory awaits. https://t.co/2ICvmw5KIq,,44,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/2ICvmw5KIq', 'expanded_url': 'https://twitter.com/pickle131989/status/1575418480849031168', 'display_url': 'twitter.com/pickle131989/s…', 'indices': [38, 61]}]}"
2022-10-03 18:28:42+00:00,1353,Twitter Web App,I'm waiting on the edge of my (electric) chair. https://t.co/djT7oFxIM1,,77,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/djT7oFxIM1', 'expanded_url': 'https://twitter.com/azalben/status/1576221579377512448', 'display_url': 'twitter.com/azalben/status…', 'indices': [48, 71]}]}"
2022-09-24 17:29:00+00:00,13070,Twitter Media Studio,"Oh, Thing... you poor, naive apendage. #TUDUM https://t.co/kldxKyqziT",,1834,"{'hashtags': [{'text': 'TUDUM', 'indices': [39, 45]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1573473903426486273, 'id_str': '1573473903426486273', 'indices': [46, 69], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1573473903426486273/img/FeBKoi2b2zsbzYh7.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1573473903426486273/img/FeBKoi2b2zsbzYh7.jpg', 'url': 'https://t.co/kldxKyqziT', 'display_url': 'pic.twitter.com/kldxKyqziT', 'expanded_url': 'https://twitter.com/wednesdayaddams/status/1573726204485459968/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}"
2022-09-23 20:29:52+00:00,1982,Twitter Web App,Hasn't Thanksgiving always been about murder &amp; mayhem? https://t.co/G6kKVefqgp,,226,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/G6kKVefqgp', 'expanded_url': 'https://twitter.com/ConanBlueDagger/status/1573304671363649536', 'display_url': 'twitter.com/ConanBlueDagge…', 'indices': [59, 82]}]}"
2022-09-23 00:07:24+00:00,1044,Twitter Web App,The poor souls who are accepted will receive a special surprise. Like the time I sent my Uncle Fester a box of hung… https://t.co/pbdFS2aS1N,,66,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/pbdFS2aS1N', 'expanded_url': 'https://twitter.com/i/web/status/1573101689074290688', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
